orden_id;order_item_id;producto_id;vendedor_id;precio;valor_flete;codigo_postal_vendedor;ciudad_vendedor;departamento_vendedor
39258PT27A;A;PT27;VE8613;105.73;32.72;19001;Popayan;Cauca
100523PF52A;A;PF52;VE5090;4.33;47.29;52480;Nariño;Nariño
46042PF74A;A;PF74;VE6032;135.24;76.3;70001;Sincelejo;Sucre
98017PS63A;A;PS63;VE7885;48.09;8.07;52427;Magui;Nariño
84098PT22C;C;PT22;VE4277;17.48;45.92;8001;Barranquilla;Atlantico
102635PI67B;B;PI67;VE3979;275.13;4.37;52381;La florida;Nariño
77781PT67A;A;PT67;VE9623;56.79;1.22;68001;Bucaramanga;Santander
5270PB95A;A;PB95;VE3791;80.04;79.17;8001;Barranquilla;Atlantico
18758PJ98A;A;PJ98;VE7926;210.4;108.47;81001;Arauca;Arauca
74732PH82A;A;PH82;VE1175;100.6;3.32;11001;Bogota d.c.;Bogota d.c.
41754PF98B;B;PF98;VE3166;29.17;26.38;52480;Nariño;Nariño
89439PN36A;A;PN36;VE6971;72.25;8.11;15001;Tunja;Boyaca
80741PB32A;A;PB32;VE5926;396.88;16.64;17001;Manizales;Caldas
31687PS26A;A;PS26;VE6608;183.19;55.8;52210;Contadero;Nariño
44565PJ75B;B;PJ75;VE7406;21.33;68.74;50006;Acacias;Meta
85054PN65C;C;PN65;VE9946;45.19;27.58;50683;San juan de arama;Meta
65550PM14A;A;PM14;VE7960;16.83;63.73;85001;Yopal;Casanare
74388PA21A;A;PA21;VE1830;61.51;15.77;52405;Leiva;Nariño
76280PJ88A;A;PJ88;VE7406;178.07;10.76;50001;Villavicencio;Meta
94314PP77A;A;PP77;VE4819;60.74;59.11;50001;Villavicencio;Meta
46102PB97A;A;PB97;VE5999;42.68;23.3;63001;Armenia;Quindio
59047PQ67A;A;PQ67;VE9530;73.92;22.32;27001;Quibdo;Choco
13627PD56A;A;PD56;VE8160;45.56;10.22;52473;Mosquera;Nariño
25114PM64A;A;PM64;VE8575;6.3;3.32;11001;Bogota d.c.;Bogota d.c.
73616PT66A;A;PT66;VE8568;229.63;6.83;52385;La llanada;Nariño
3113PD20A;A;PD20;VE2114;17.37;20.43;66001;Pereira;Risaralda
38942PH17A;A;PH17;VE9530;29.36;2.74;52435;Mallama;Nariño
2328PT84A;A;PT84;VE5090;3.27;16.74;52051;Arboleda;Nariño
1503PT24A;A;PT24;VE1175;70.48;20.44;13001;Cartagena;Bolivar
62407PI62A;A;PI62;VE4813;41.14;0.3;91001;Leticia;Amazonas
70813PD45A;A;PD45;VE3607;18.77;21.07;91001;Leticia;Amazonas
97851PJ95A;A;PJ95;VE7888;46.65;22.05;52001;Pasto;Nariño
67147PO35A;A;PO35;VE6106;46.96;6.55;52480;Nariño;Nariño
98233PR58A;A;PR58;VE9946;9.51;6.72;5002;Abejorral;Antioquia
94350PO44A;A;PO44;VE1125;39.45;2.55;91001;Leticia;Amazonas
98430PN22D;D;PN22;VE7016;42.32;16.23;52427;Magui;Nariño
26536PR52B;B;PR52;VE8895;21.97;14.48;54001;Cucuta;Norte de santander
80013PN37A;A;PN37;VE4242;6.11;20.7;50001;Villavicencio;Meta
50420PI19A;A;PI19;VE1307;190.48;0.44;52001;Pasto;Nariño
27589PI33A;A;PI33;VE1266;108.18;14.05;52385;La llanada;Nariño
46587PD22A;A;PD22;VE6032;7.35;20.02;54003;Abrego;Norte de santander
80051PF39A;A;PF39;VE3791;69.3;10.45;18001;Florencia;Caqueta
34872PQ66A;A;PQ66;VE9159;61.1;7.27;52323;Gualmatan;Nariño
28222PL26A;A;PL26;VE4242;39.15;23.5;52323;Gualmatan;Nariño
78676PD92A;A;PD92;VE3791;220.88;34.26;50686;San juanito;Meta
86160PC26B;B;PC26;VE7211;119.18;39.9;66001;Pereira;Risaralda
99745PL13A;A;PL13;VE5588;161.6;74.96;68001;Bucaramanga;Santander
22519PD10A;A;PD10;VE8511;206.1;31.5;52001;Pasto;Nariño
24719PK84A;A;PK84;VE6542;0.04;50.46;52079;Barbacoas;Nariño
58558PO44A;A;PO44;VE4580;224.3;29.92;25001;Agua de dios;Cundinamarca
79726PD22A;A;PD22;VE6781;46.19;14.77;41006;Acevedo;Huila
89198PI70C;C;PI70;VE2738;134.81;16.04;76001;Cali;Valle del cauca
14839PT55B;B;PT55;VE8467;79.72;1.3;18001;Florencia;Caqueta
43737PQ62A;A;PQ62;VE3482;14.43;21.75;50006;Acacias;Meta
105787PE21A;A;PE21;VE6106;141.79;5.53;91001;Leticia;Amazonas
14864PE35A;A;PE35;VE8467;3.07;15.33;27001;Quibdo;Choco
86443PT38A;A;PT38;VE4002;357.22;2.21;17001;Manizales;Caldas
49359PB40A;A;PB40;VE6781;25.16;35.55;52480;Nariño;Nariño
75175PF76B;B;PF76;VE8325;145.67;19.6;52427;Magui;Nariño
1138PC46A;A;PC46;VE5595;175.54;24.86;52356;Ipiales;Nariño
80525PL33B;B;PL33;VE3743;44.7;8.29;50683;San juan de arama;Meta
83589PJ37A;A;PJ37;VE7503;18.43;30.63;52565;Providencia;Nariño
53369PM15A;A;PM15;VE1988;112.6;12.6;97001;Mitu;Vaupes
89886PG42A;A;PG42;VE5783;40.04;21.62;52480;Nariño;Nariño
91282PI23A;A;PI23;VE8325;24.38;9.2;95001;San jose del guaviare;Guaviare
24690PT35A;A;PT35;VE5681;156.66;7.59;52405;Leiva;Nariño
22565PJ41A;A;PJ41;VE5109;62.86;1.96;17001;Manizales;Caldas
78791PO19A;A;PO19;VE7885;450.52;19.63;52323;Gualmatan;Nariño
64871PR78A;A;PR78;VE3797;162.58;13.14;52203;Colon;Nariño
73258PN14A;A;PN14;VE8511;7.75;4.78;50683;San juan de arama;Meta
15256PO65A;A;PO65;VE4436;42.25;22.16;50686;San juanito;Meta
54277PG16A;A;PG16;VE9159;1.61;38.58;52565;Providencia;Nariño
7854PB65A;A;PB65;VE2561;156.27;0.78;50001;Villavicencio;Meta
107592PS37A;A;PS37;VE3062;299.12;18.4;66001;Pereira;Risaralda
78382PL35A;A;PL35;VE7016;155.33;12.67;50683;San juan de arama;Meta
69473PR87A;A;PR87;VE5681;196.83;22.28;50001;Villavicencio;Meta
38481PM78B;B;PM78;VE1211;188.18;41.04;50001;Villavicencio;Meta
51515PI92A;A;PI92;VE2302;13.92;103.31;52411;Linares;Nariño
8290PM42A;A;PM42;VE6777;587.81;12.76;73001;Ibague;Tolima
7100PF44A;A;PF44;VE7623;157.82;5.8;54003;Abrego;Norte de santander
65379PH70A;A;PH70;VE2302;46.17;49.79;76001;Cali;Valle del cauca
20718PQ64A;A;PQ64;VE2501;91.71;36.54;50001;Villavicencio;Meta
86112PN28A;A;PN28;VE9609;100.06;16.53;76001;Cali;Valle del cauca
22523PB22B;B;PB22;VE3215;25.69;18.7;52405;Leiva;Nariño
38272PL62A;A;PL62;VE1309;376.24;7.97;70001;Sincelejo;Sucre
112237PP47A;A;PP47;VE2992;127.16;24.6;70001;Sincelejo;Sucre
76608PJ16A;A;PJ16;VE2068;113.46;37.29;52051;Arboleda;Nariño
51566PR85A;A;PR85;VE8782;66.86;1.34;52210;Contadero;Nariño
99515PJ94A;A;PJ94;VE6608;40.29;28.41;52435;Mallama;Nariño
44392PF36A;A;PF36;VE9769;193.54;12.95;95001;San jose del guaviare;Guaviare
74781PQ58A;A;PQ58;VE4454;301.31;11.95;66001;Pereira;Risaralda
86996PF64A;A;PF64;VE2068;280.2;43.01;68001;Bucaramanga;Santander
45068PQ61A;A;PQ61;VE2233;270.9;23.83;68001;Bucaramanga;Santander
14780PT68A;A;PT68;VE6495;188.31;3.6;52203;Colon;Nariño
29281PJ35A;A;PJ35;VE1830;36.75;2.85;52210;Contadero;Nariño
46991PI11A;A;PI11;VE2056;22.62;1.57;25001;Agua de dios;Cundinamarca
50226PC92A;A;PC92;VE5422;27.88;0.21;50683;San juan de arama;Meta
46270PT97A;A;PT97;VE2233;194.88;7.97;81001;Arauca;Arauca
52310PM66A;A;PM66;VE4277;107.43;3.73;54003;Abrego;Norte de santander
106580PB73B;B;PB73;VE7348;91.48;1.7;70001;Sincelejo;Sucre
8737PJ83A;A;PJ83;VE7066;115.39;45.05;52411;Linares;Nariño
58407PE56A;A;PE56;VE7495;194.14;13.14;66001;Pereira;Risaralda
44092PL31A;A;PL31;VE6936;53.44;1.44;8001;Barranquilla;Atlantico
15833PN18A;A;PN18;VE5979;15.22;33.62;66001;Pereira;Risaralda
27194PF90A;A;PF90;VE2715;30.05;0.23;50001;Villavicencio;Meta
85325PB95A;A;PB95;VE4277;315.73;10.18;50006;Acacias;Meta
83542PC95A;A;PC95;VE5049;140.68;15.83;50006;Acacias;Meta
34364PI16A;A;PI16;VE9530;37.84;3.53;52399;La union;Nariño
87501PK61B;B;PK61;VE5109;192.28;42.92;52207;Consaca;Nariño
72957PT98A;A;PT98;VE4580;103.87;27.61;50683;San juan de arama;Meta
1464PH72A;A;PH72;VE7623;66.35;28.95;52210;Contadero;Nariño
5855PC33D;D;PC33;VE7016;196.65;33.69;86001;Mocoa;Putumayo
61263PN82B;B;PN82;VE3276;246.54;1.9;54001;Cucuta;Norte de santander
45336PE72A;A;PE72;VE7204;5.66;26.48;50006;Acacias;Meta
105789PE61A;A;PE61;VE8467;212.89;1.37;63001;Armenia;Quindio
20122PI29A;A;PI29;VE6032;81.74;1.71;50683;San juan de arama;Meta
80400PF29A;A;PF29;VE7147;356.99;24.44;68001;Bucaramanga;Santander
63944PH34A;A;PH34;VE1504;13.19;21.5;54003;Abrego;Norte de santander
64518PJ72A;A;PJ72;VE8494;5.9;43.47;52418;Los andes;Nariño
36114PP12B;B;PP12;VE6294;474.81;31.6;73001;Ibague;Tolima
90209PM83B;B;PM83;VE8325;65.38;2.45;76001;Cali;Valle del cauca
55242PP78D;D;PP78;VE3276;636.7;1.36;52399;La union;Nariño
112394PK90A;A;PK90;VE3955;134.33;6.52;52323;Gualmatan;Nariño
58094PB30A;A;PB30;VE7281;117.95;59.43;52418;Los andes;Nariño
72488PK38E;E;PK38;VE2012;333.35;61.45;20001;Valledupar;Cesar
93039PC53A;A;PC53;VE8544;55.54;41.18;52323;Gualmatan;Nariño
45838PA59A;A;PA59;VE4829;84.56;24.5;52051;Arboleda;Nariño
38904PH69A;A;PH69;VE8699;68.43;35.21;52051;Arboleda;Nariño
109309PO81A;A;PO81;VE4502;27.91;13.68;54001;Cucuta;Norte de santander
16PL27A;A;PL27;VE5109;312.46;3.73;52203;Colon;Nariño
24343PK59A;A;PK59;VE7281;306.16;18.87;50686;San juanito;Meta
90767PJ92A;A;PJ92;VE5049;29.67;1.27;52381;La florida;Nariño
97985PI51A;A;PI51;VE4365;22.5;3.51;8001;Barranquilla;Atlantico
28407PI86A;A;PI86;VE9623;116.08;22.91;70001;Sincelejo;Sucre
61416PJ31A;A;PJ31;VE4454;601.9;18.27;66001;Pereira;Risaralda
26567PQ84A;A;PQ84;VE7866;26.55;4.64;44001;Riohacha;La guajira
14850PB88A;A;PB88;VE9170;211.95;19.25;50686;San juanito;Meta
106210PK87A;A;PK87;VE2456;174.62;25.67;52210;Contadero;Nariño
64464PR19A;A;PR19;VE8511;46.7;3.66;66001;Pereira;Risaralda
23661PG50A;A;PG50;VE1290;223.1;5.77;23001;Monteria;Cordoba
74707PS94A;A;PS94;VE2012;343.0;2.48;52418;Los andes;Nariño
79693PG74A;A;PG74;VE9623;134.14;17.38;50006;Acacias;Meta
18562PR22A;A;PR22;VE3791;141.09;10.5;52405;Leiva;Nariño
31145PE18A;A;PE18;VE5049;91.19;23.73;50001;Villavicencio;Meta
22505PF43A;A;PF43;VE3342;503.98;54.12;52411;Linares;Nariño
10058PO78B;B;PO78;VE1307;107.1;39.2;52399;La union;Nariño
82243PN29B;B;PN29;VE8925;29.87;12.7;68001;Bucaramanga;Santander
79815PR98A;A;PR98;VE1175;33.57;3.95;13001;Cartagena;Bolivar
112067PG87A;A;PG87;VE9276;179.24;11.12;50001;Villavicencio;Meta
75839PN43A;A;PN43;VE5090;18.84;19.8;44001;Riohacha;La guajira
8005PQ38A;A;PQ38;VE3276;264.53;1.25;15001;Tunja;Boyaca
12346PS69B;B;PS69;VE1988;12.4;0.48;50001;Villavicencio;Meta
103464PJ80A;A;PJ80;VE7066;40.48;1.52;20001;Valledupar;Cesar
54175PB75A;A;PB75;VE8692;127.55;9.71;27001;Quibdo;Choco
49505PQ34A;A;PQ34;VE3840;97.4;30.96;19001;Popayan;Cauca
100941PP12B;B;PP12;VE6785;284.68;30.1;17001;Manizales;Caldas
41137PH95A;A;PH95;VE4124;20.4;20.26;66001;Pereira;Risaralda
51596PB63A;A;PB63;VE3062;305.44;25.25;50001;Villavicencio;Meta
31006PL75A;A;PL75;VE7016;85.63;27.21;50006;Acacias;Meta
15894PK44C;C;PK44;VE2501;45.66;26.05;66001;Pereira;Risaralda
49179PL61A;A;PL61;VE9912;5.27;8.96;54003;Abrego;Norte de santander
10602PJ62A;A;PJ62;VE6294;122.98;27.6;52490;Olaya herrera;Nariño
85041PN28A;A;PN28;VE6107;64.35;32.84;52323;Gualmatan;Nariño
55308PT88A;A;PT88;VE7147;44.46;3.86;44001;Riohacha;La guajira
69082PE99A;A;PE99;VE1175;37.93;1.61;76001;Cali;Valle del cauca
46284PK79A;A;PK79;VE3292;13.16;3.6;52385;La llanada;Nariño
26720PS34A;A;PS34;VE1830;50.42;17.55;11001;Bogota d.c.;Bogota d.c.
81403PB60A;A;PB60;VE9713;44.49;3.12;15001;Tunja;Boyaca
49183PE15A;A;PE15;VE2992;287.18;5.7;17001;Manizales;Caldas
32346PF75A;A;PF75;VE4937;57.44;5.53;11001;Bogota d.c.;Bogota d.c.
36430PR94A;A;PR94;VE9555;67.64;33.73;5002;Abejorral;Antioquia
42781PP89A;A;PP89;VE1504;90.3;34.5;76001;Cali;Valle del cauca
3071PS63A;A;PS63;VE5149;219.91;4.32;52210;Contadero;Nariño
19004PJ65A;A;PJ65;VE3582;245.8;6.61;50001;Villavicencio;Meta
87002PC23A;A;PC23;VE2821;207.45;38.03;50006;Acacias;Meta
13177PE91A;A;PE91;VE8699;115.13;27.32;52079;Barbacoas;Nariño
100257PK54A;A;PK54;VE6668;120.02;9.59;52473;Mosquera;Nariño
9799PS51A;A;PS51;VE6032;0.66;9.62;23001;Monteria;Cordoba
42054PA33A;A;PA33;VE6180;99.16;20.88;76001;Cali;Valle del cauca
31360PF54A;A;PF54;VE3768;49.68;25.89;15001;Tunja;Boyaca
71054PB49A;A;PB49;VE7016;160.98;44.4;81001;Arauca;Arauca
110641PT32A;A;PT32;VE6108;70.07;8.2;70001;Sincelejo;Sucre
73724PD28A;A;PD28;VE4365;129.36;30.55;13006;Achi;Bolivar
101943PT27A;A;PT27;VE9186;51.45;8.39;52427;Magui;Nariño
1388PC36A;A;PC36;VE8692;325.4;1.41;52540;Policarpa;Nariño
51738PG52A;A;PG52;VE8782;79.06;52.01;18001;Florencia;Caqueta
109708PT50A;A;PT50;VE7211;113.39;9.26;15001;Tunja;Boyaca
85233PC85F;F;PC85;VE3087;410.23;8.98;54003;Abrego;Norte de santander
10543PD31B;B;PD31;VE9276;99.78;60.38;50006;Acacias;Meta
111445PJ68B;B;PJ68;VE5049;67.17;14.19;19001;Popayan;Cauca
99773PB99A;A;PB99;VE5109;126.81;101.29;66001;Pereira;Risaralda
86477PN43A;A;PN43;VE7338;25.39;11.54;95001;San jose del guaviare;Guaviare
96774PC43A;A;PC43;VE5192;40.99;37.38;52207;Consaca;Nariño
57040PP78A;A;PP78;VE8692;164.95;69.02;52356;Ipiales;Nariño
79292PL44A;A;PL44;VE7925;4.49;2.52;81001;Arauca;Arauca
63909PO30A;A;PO30;VE1290;73.36;51.03;50006;Acacias;Meta
96488PG94A;A;PG94;VE6668;380.58;18.37;52210;Contadero;Nariño
56302PQ83A;A;PQ83;VE5783;155.54;2.8;52385;La llanada;Nariño
91724PG60A;A;PG60;VE8695;28.65;12.78;52323;Gualmatan;Nariño
108657PK82A;A;PK82;VE5090;250.7;19.15;23001;Monteria;Cordoba
108206PG38B;B;PG38;VE6060;40.47;87.6;70001;Sincelejo;Sucre
12154PM49A;A;PM49;VE3342;604.6;1.16;52210;Contadero;Nariño
83049PC53A;A;PC53;VE1204;93.14;2.74;52378;La cruz;Nariño
99163PT71A;A;PT71;VE6646;15.76;6.03;52210;Contadero;Nariño
50048PE77A;A;PE77;VE3743;215.12;13.74;52079;Barbacoas;Nariño
50455PM39B;B;PM39;VE8511;49.64;28.37;52540;Policarpa;Nariño
84194PI42A;A;PI42;VE6106;3.6;51.26;52210;Contadero;Nariño
107016PC20A;A;PC20;VE1307;243.4;2.72;50686;San juanito;Meta
97957PQ91A;A;PQ91;VE5926;31.35;31.61;13006;Achi;Bolivar
44065PC65A;A;PC65;VE5149;139.77;18.19;23001;Monteria;Cordoba
53839PG32A;A;PG32;VE3215;82.08;6.05;73001;Ibague;Tolima
29232PI89A;A;PI89;VE6856;95.46;10.59;52390;La tola;Nariño
14531PT95B;B;PT95;VE3797;1.1;34.91;23001;Monteria;Cordoba
95088PO19A;A;PO19;VE2887;73.26;21.61;52323;Gualmatan;Nariño
109626PR24B;B;PR24;VE1637;10.91;41.47;52565;Providencia;Nariño
93196PL96A;A;PL96;VE9946;27.16;22.72;50006;Acacias;Meta
70581PR76A;A;PR76;VE1125;38.64;11.53;52210;Contadero;Nariño
27556PO15A;A;PO15;VE2715;78.12;20.66;50001;Villavicencio;Meta
85845PJ86A;A;PJ86;VE1492;35.38;2.4;52473;Mosquera;Nariño
14337PA22A;A;PA22;VE1266;234.38;98.28;50686;San juanito;Meta
14271PM39A;A;PM39;VE7495;28.99;1.58;52210;Contadero;Nariño
77832PK27A;A;PK27;VE5993;93.9;20.01;5001;Medellin;Antioquia
49772PA15A;A;PA15;VE4436;64.24;7.79;44001;Riohacha;La guajira
18271PM23B;B;PM23;VE6180;35.33;11.42;66001;Pereira;Risaralda
83436PM61A;A;PM61;VE9609;180.96;2.75;52323;Gualmatan;Nariño
95190PP37B;B;PP37;VE6936;6.9;6.93;52110;Buesaco;Nariño
59295PP80C;C;PP80;VE2056;237.73;14.4;44001;Riohacha;La guajira
6741PK52A;A;PK52;VE8544;14.3;6.77;73001;Ibague;Tolima
60562PG86A;A;PG86;VE4829;43.12;23.92;23001;Monteria;Cordoba
16149PI77A;A;PI77;VE3858;34.93;4.27;52565;Providencia;Nariño
4075PA42A;A;PA42;VE5595;2.17;22.23;91001;Leticia;Amazonas
63431PS88A;A;PS88;VE3768;300.13;6.08;11001;Bogota d.c.;Bogota d.c.
87614PD33B;B;PD33;VE3880;106.28;3.13;52323;Gualmatan;Nariño
32922PR72A;A;PR72;VE3877;9.95;36.64;52435;Mallama;Nariño
17967PF79A;A;PF79;VE5993;234.72;40.52;50001;Villavicencio;Meta
7857PQ46A;A;PQ46;VE1204;170.16;5.21;23001;Monteria;Cordoba
23515PR14A;A;PR14;VE5783;33.64;25.76;50686;San juanito;Meta
23496PQ85A;A;PQ85;VE6180;114.77;33.7;52203;Colon;Nariño
109874PO27A;A;PO27;VE6777;64.77;72.22;52480;Nariño;Nariño
103179PA20A;A;PA20;VE8692;61.91;7.95;76001;Cali;Valle del cauca
18711PR42A;A;PR42;VE4446;112.92;27.48;52323;Gualmatan;Nariño
73807PR41A;A;PR41;VE2738;132.61;2.75;17001;Manizales;Caldas
88130PP36A;A;PP36;VE2926;178.51;1.38;52565;Providencia;Nariño
20090PN54A;A;PN54;VE5049;70.63;10.48;52323;Gualmatan;Nariño
5460PL77B;B;PL77;VE2738;37.75;26.87;76001;Cali;Valle del cauca
4388PI10A;A;PI10;VE8975;100.04;38.76;52490;Olaya herrera;Nariño
3447PD90A;A;PD90;VE4052;141.44;10.51;17001;Manizales;Caldas
31487PO55A;A;PO55;VE3840;225.92;13.28;54001;Cucuta;Norte de santander
29278PE40A;A;PE40;VE7926;359.86;57.18;52051;Arboleda;Nariño
71566PK94A;A;PK94;VE2821;24.06;32.76;85001;Yopal;Casanare
8102PD64A;A;PD64;VE6785;122.91;24.53;8001;Barranquilla;Atlantico
53822PC83A;A;PC83;VE7125;71.87;0.33;52323;Gualmatan;Nariño
16428PP19B;B;PP19;VE3927;46.65;2.31;23001;Monteria;Cordoba
34640PA22A;A;PA22;VE5979;318.24;4.84;52418;Los andes;Nariño
70880PD51A;A;PD51;VE9449;27.82;3.42;97001;Mitu;Vaupes
12312PB34A;A;PB34;VE3979;11.22;4.38;52473;Mosquera;Nariño
60692PB58A;A;PB58;VE6856;9.79;53.51;85001;Yopal;Casanare
79548PL60A;A;PL60;VE1211;105.33;21.22;52323;Gualmatan;Nariño
96457PF30A;A;PF30;VE3420;9.16;12.72;76001;Cali;Valle del cauca
51241PA17A;A;PA17;VE1558;14.88;33.42;44001;Riohacha;La guajira
