orden_id;producto_id;vendedor_id;fecha_envio_limite;precio;valor_flete;codigo_postal_vendedor;ciudad_vendedor;departamento_vendedor;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto;volumen_cm3_producto
92369PB29A-A;PB29;VE6785;21/06/2018 6:20;186.54;33.36;52480;Nariño;Nariño;Ropa de adultos;34;37;21;274;14;15;26;5460
30284PK49A-A;PK49;VE3791;13/10/2017 19:12;36.41;57.04;52480;Nariño;Nariño;Deportes;35;19;20;3275;13;25;25;8125
111056PB55A-A;PB55;VE9555;20/12/1901 12:58;100.97;19.48;52203;Colon;Nariño;Ropa de adultos;23;30;0;1634;15;22;23;7590
89699PK23A-A;PK23;VE5681;28/03/2018 18:12;26.0;4.53;52560;Potosi;Nariño;Deportes;31;5;5;982;63;47;10;29610
97073PD18A-A;PD18;VE5389;29/10/2017 23:02;222.53;2.87;52411;Linares;Nariño;Celulares;7;32;38;3036;10;46;29;0
2659PS47A-A;PS47;VE7671;16/12/2017 14:32;-55.45;4.43;52490;Olaya herrera;Nariño;Carnicería;26;30;5;1792;25;37;34;31450
8269PR52A-A;PR52;VE5979;30/01/2018 6:13;108.49;8.26;52323;Gualmatan;Nariño;Frutas y verduras;16;34;9;1801;32;2;16;1024
22530PR54A-A;PR54;VE7281;2/02/2018 21:25;5.16;7.22;52490;Olaya herrera;Nariño;Frutas y verduras;3;1;18;3576;35;30;16;16800
7989PS32A-A;PS32;VE8160;31/08/2017 1:56;154.86;2.77;52560;Potosi;Nariño;Carnicería;22;22;31;737;37;28;20;20720
104842PR59A-A;PR59;VE5049;5/11/2017 3:03;0.35;40.7;52354;Imues;Nariño;Frutas y verduras;16;2;10;2384;22;36;24;19008
105632PS24A-A;PS24;VE5445;13/04/2018 3:37;16.58;15.8;52079;Barbacoas;Nariño;Carnicería;32;2;18;202;51;26;4;5304
80788PR86A-A;PR86;VE6971;15/08/2017 6:11;7.11;5.99;52480;Nariño;Nariño;Frutas y verduras;1;2;10;943;2;18;14;504
73330PS80A-A;PS80;VE4277;1/06/2018 11:39;9.6;3.76;52210;Contadero;Nariño;Carnicería;8;29;31;22;5;18;11;990
45914PS13A-A;PS13;VE1504;11/08/2017 20:10;217.47;15.56;52323;Gualmatan;Nariño;Carnicería;31;25;20;975;24;10;31;7440
81456PA38A-A;PA38;VE3549;11/01/2018 1:00;135.63;8.81;52565;Providencia;Nariño;Electrodomésticos;11;26;31;1348;42;19;14;11172
36156PD96A-A;PD96;VE4365;22/11/2017 9:54;120.54;27.09;52203;Colon;Nariño;Celulares;27;24;28;6200;26;3;16;1248
110056PK90A-A;PK90;VE3166;9/10/2017 14:33;110.88;13.78;52378;La cruz;Nariño;Deportes;30;23;33;403;35;25;35;30625
100763PB87A-A;PB87;VE5229;3/02/2018 10:33;174.46;34.96;52356;Ipiales;Nariño;Ropa_de_adultos;19;27;10;2382;22;38;26;21736
69291PK93A-A;PK93;VE2456;14/12/2017 8:47;-2.36;0.68;52435;Mallama;Nariño;Deportes;2;32;0;1615;40;4;35;5600
4860PK64A-A;PK64;VE4052;15/11/2017 3:03;14.98;;52411;Linares;Nariño;;7;13;16;474;12;6;30;2160
110005PA12A-A;PA12;VE1340;1/10/1901 5:20;51.68;8.86;52520;Francisco pizarro;Nariño;Electrodomésticos;34;26;32;956;43;24;23;23736
26320PB63A-A;PB63;VE6406;10/08/2017 11:33;4.99;29.17;52356;Ipiales;Nariño;Ropa de adultos;16;12;31;12347;73;4;33;9636
99770PK24A-A;PK24;VE8568;4/12/2017 20:33;31.17;78.74;52385;La llanada;Nariño;Deportes;11;9;20;713;31;46;21;29946
55480PR47A-A;PR47;VE8634;28/01/2257 17:52;70.97;;52051;Arboleda;Nariño;;24;4;32;7659;43;11;41;19393
24053PR86A-A;PR86;VE4124;16/09/2017 18:41;94.14;5.0;52473;Mosquera;Nariño;Frutas y verduras;9;29;19;154;48;3;19;2736
23002PB56A-A;PB56;VE7926;13/02/2018 2:53;50.08;17.79;52203;Colon;Nariño;Ropa de adultos;1;32;24;3863;15;13;55;10725
8211PD44A-A;PD44;VE8338;30/01/2018 5:17;72.34;19.26;52435;Mallama;Nariño;Celulares;14;21;3;799;25;36;34;30600
1665PK80A-A;PK80;VE8903;20/04/2018 0:52;28.88;33.75;52381;La florida;Nariño;Deportes;11;7;23;671;26;4;19;1976
13745PD23A-A;PD23;VE3877;15/02/2018 11:23;51.61;20.23;52381;La florida;Nariño;Celulares;19;19;39;1004;19;14;27;7182
18711PR42A-A;PR42;VE4446;7/03/2018 23:29;112.92;27.48;52323;Gualmatan;Nariño;Frutas y verduras;39;3;2;551;16;15;37;8880
103630PD63A-A;PD63;VE7066;16/06/2018 5:19;93.98;20.76;52083;Belen;Nariño;Celulares;37;22;9;3662;31;16;29;14384
66918PD84A-A;PD84;VE9170;16/10/2017 23:51;61.86;18.13;5002;Abejorral;Antioquia;Celulares;35;28;3;1106;7;11;21;1617
30933PK83A-A;PK83;VE6108;24/11/2017 15:51;23.47;97.01;52411;Linares;Nariño++;Deportes;22;0;32;35;36;18;33;0
95445PS54A-A;PS54;VE3689;24/07/2017 0:06;178.63;23.78;52405;Leiva;Nariño;Carnicería;4;20;13;160;33;18;22;0
74083PS61A-A;PS61;VE2715;17/03/2018 16:34;-106.25;9.57;52435;Mallama;Nariño;Carnicería;36;1;10;4200;37;26;23;22126
47571PD70A-A;PD70;VE9555;17/05/2018 15:18;128.53;38.14;52435;Mallama;Nariño;Celulares;31;33;13;7378;48;15;24;17280
77223PB90A-A;PB90;VE5595;23/11/2017 21:35;141.32;19.61;52323;Gualmatan;Nariño;Ropa de adultos;12;31;40;323;46;10;31;14260
34535PB17A-A;PB17;VE6646;31/08/2017 5:48;24.55;2.01;52399;La union;Nariño;Ropa de adultos;28;14;40;4623;15;13;19;3705
40178PA77A-A;PA77;VE1204;17/09/2017 11:06;-199.47;31.66;52079;Barbacoas;Nariño;Electrodomésticos;24;34;16;2693;50;31;19;29450
43748PS65A-A;PS65;VE9449;18/04/2018 8:55;40.3;14.89;52323;Gualmatan;Nariño;Carnicería;16;0;18;570;38;3;17;1938
2908PA63A-A;PA63;VE1019;24/07/2017 19:32;122.72;11.04;52203;Colon;Nariño;Electrodomésticos;11;21;22;758;18;18;10;3240
59516PR48A-A;PR48;VE6646;10/09/2017 2:57;42.29;4.51;5002;Abejorral;Antioquia;Frutas y verduras;7;14;27;2048;38;12;5;2280
79043PS37A-A;PS37;VE7671;10/09/2017 19:22;-36.68;21.3;52323;Gualmatan;Nariño;Carnicería;38;28;25;617;4;20;1;0
57153PK10A-A;PK10;VE3743;6/03/2018 0:58;124.78;25.84;52323;Gualmatan;Nariño;Deportes;24;33;29;7186;16;24;21;8064
14515PA25A-A;PA25;VE5422;28/11/2017 10:01;163.91;36.21;52051;Arboleda;Nariño;Electrodomésticos;27;3;6;7597;20;12;30;7200
11932PB32A-A;PB32;VE5929;18/11/2017 7:38;243.4;8.9;52540;Policarpa;Nariño;Ropa de adultos;37;19;35;7864;18;34;19;11628
2649PS72A-A;PS72;VE6107;16/05/2018 7:42;11.67;26.75;52203;Colon;Nariño;Carnicería;29;12;11;3068;29;29;11;9251
97966PD82B-B;PD82;VE6856;2/09/2017 13:21;37.17;4.45;52381;La florida;Nariño;Celulares;6;20;13;1082;55;41;35;78925
43849PR21A-A;PR21;VE7885;6/05/2018 11:30;91.05;31.54;52411;Linares;Nariño;Frutas y verduras;6;20;29;653;24;23;27;14904
46635PA26A-A;PA26;VE7495;9/11/2017 5:29;62.1;9.96;52405;Leiva;Nariño;Electrodomésticos;31;12;21;779;27;6;32;5184
54805PA82A-A;PA82;VE1504;23/01/2018 17:08;376.08;;52210;Contadero;Nariño;;12;12;35;74;31;12;39;0
31738PA13A-A;PA13;VE4819;20/10/2017 9:28;619.77;;52210;Contadero;Nariño;;27;39;6;458;32;9;31;0
111794PA48A-A;PA48;VE3210;18/09/2017 21:53;347.83;95.0;52203;Colon;Nariño;Electrodomésticos;9;10;32;2056;1;0;17;0
3071PS63A-A;PS63;VE5149;4/05/2018 7:24;219.91;4.32;52210;Contadero;Nariño;Carnicería;36;0;35;2281;49;6;18;5292
105599PD93A-A;PD93;VE4365;11/02/2018 17:05;22.57;7.35;52399;La union;Nariño;Celulares;0;13;19;5897;44;6;13;3432
104160PB51A-A;PB51;VE3797;8/04/2018 22:04;153.06;5.24;52427;Magui;Nariño;Ropa de adultos;32;26;12;3639;68;27;10;18360
33385PD76A-A;PD76;VE4481;12/01/2018 19:50;0.12;71.6;52203;Colon;Nariño;Celulares;10;6;22;3088;50;5;24;6000
66417PD58A-A;PD58;VE3791;17/08/2017 22:54;6.65;0.93;52210;Contadero;Nariño;Celulares;37;20;3;1420;21;1;31;651
106254PS35A-A;PS35;VE3276;11/10/2017 6:15;56.16;17.23;52110;Buesaco;Nariño;Carnicería;39;34;28;3666;25;36;29;26100
73281PK42A-A;PK42;VE7281;14/09/2017 5:19;0.43;19.43;52323;Gualmatan;Nariño;Deportes;11;34;40;91;19;23;37;16169
61118PK27A-A;PK27;VE7406;20/04/2257 13:15;82.13;73.52;52203;Colon;Nariño;Deportes;3;20;37;559;32;36;15;17280
92508PR98A-A;PR98;VE2942;6/03/2257 11:40;44.93;41.3;52323;Gualmatan;Nariño++;Frutas y verduras;39;6;0;5130;19;27;16;8208
28389PD99A-A;PD99;VE1175;18/03/2257 2:16;305.77;10.46;52051;Arboleda;Nariño++;Celulares;11;33;22;2693;34;17;41;23698
110327PA44A-A;PA44;VE7348;5/04/2018 5:53;79.62;27.27;52203;Colon;Nariño;Electrodomésticos;4;21;10;690;35;32;23;0
17773PK15A-A;PK15;VE7925;8/08/2017 23:39;2.58;51.32;52411;Linares;Nariño;Deportes;34;24;10;1884;20;10;13;2600
37605PR55A-A;PR55;VE8692;9/06/2018 6:04;667.65;22.11;52378;La cruz;Nariño;Frutas y verduras;32;18;15;1725;10;20;27;5400
45535PS31A-A;PS31;VE9434;3/08/1901 15:24;42.9;39.95;52480;Nariño;Nariño;Carnicería;16;37;20;1078;3;27;13;1053
109190PA85A-A;PA85;VE7348;25/10/2017 2:21;135.06;22.88;52323;Gualmatan;Nariño;Electrodomésticos;1;23;16;1246;5;16;2;160
77832PK27A-A;PK27;VE5993;12/08/2017 17:09;93.9;;5001;Medellin;Antioquia;;12;33;5;721;54;17;26;23868
106905PS18A-A;PS18;VE1558;21/01/2257 7:10;224.3;34.61;52506;Ospina;Nariño;Carnicería;23;36;11;7490;11;13;15;2145
34706PB40A-A;PB40;VE1019;25/09/2017 21:18;311.88;22.19;52207;Consaca;Nariño;Ropa_de_adultos;15;29;32;4597;5;27;25;3375
46327PK40A-A;PK40;VE6936;28/08/2017 11:45;37.71;33.22;52565;Providencia;Nariño;Deportes;28;34;34;8713;52;32;12;19968
45741PA95A-A;PA95;VE6971;28/10/2017 13:39;181.55;45.06;52520;Francisco pizarro;Nariño;Electrodomésticos;13;13;1;4487;5;16;8;640
25864PK30B-B;PK30;VE5192;6/01/2018 11:48;23.43;18.24;52381;La florida;Nariño;Deportes;30;35;8;1912;47;15;24;16920
31236PR65A-A;PR65;VE7960;19/12/2017 14:02;74.68;12.38;52203;Colon;Nariño;Frutas y verduras;1;7;31;2501;37;32;22;0
96060PB21A-A;PB21;VE2738;4/02/2257 20:14;88.19;21.42;52210;Contadero;Nariño;Ropa de adultos;23;2;25;1907;32;25;9;7200
111214PD68C-C;PD68;VE9912;27/09/1901 4:47;62.49;7.18;52473;Mosquera;Nariño;Celulares;8;28;10;4630;17;13;23;5083
68917PD87A-A;PD87;VE6571;17/03/2018 17:02;-75.74;33.78;5001;Medellin;Antioquia;Celulares;38;30;16;327;28;31;26;22568
6134PB76B-B;PB76;VE3806;9/05/2018 9:23;112.49;10.86;52203;Colon;Nariño;Ropa de adultos;32;30;0;4564;10;11;16;1760
98368PA70B-B;PA70;VE5445;8/06/2018 15:11;96.33;7.05;5001;Medellin;Antioquia;Electrodomésticos;8;39;39;1669;25;23;24;13800
24149PS40A-A;PS40;VE3276;22/05/2018 17:49;397.32;57.96;52480;Nariño;Nariño;Carnicería;2;31;0;5132;13;22;40;11440
59201PA65A-A;PA65;VE1266;1/05/2018 23:30;26.46;22.34;52540;Policarpa;Nariño;Electrodomésticos;40;37;21;208;21;27;20;11340
15618PS85A-A;PS85;VE2068;5/04/2018 16:15;294.22;21.95;52435;Mallama;Nariño;Carnicería;20;11;20;612;21;17;23;0
82276PR45A-A;PR45;VE1340;8/01/2018 14:05;149.5;4.24;5001;Medellin;Antioquia;Frutas y verduras;1;33;35;197;26;29;41;0
61009PS29A-A;PS29;VE7623;25/06/2018 2:16;30.72;10.45;52207;Consaca;Nariño;Carnicería;11;32;2;1687;18;30;13;7020
59756PK82A-A;PK82;VE4277;15/08/2017 18:06;80.39;24.36;52480;Nariño;Nariño;Deportes;13;19;28;1433;17;28;18;8568
17905PA10A-A;PA10;VE4937;17/11/2017 0:16;92.34;12.61;52323;Gualmatan;Nariño;Electrodomésticos;34;13;0;50;38;25;10;0
83766PS71A-A;PS71;VE7926;6/09/2017 22:03;232.07;5.16;52203;Colon;Nariño;Carnicería;2;18;14;6139;36;1;26;936
9754PD83E-E;PD83;VE8338;1/05/2018 20:56;31.67;8.91;52411;Linares;Nariño;Celulares;35;10;21;3883;52;28;26;37856
40678PK14A-A;PK14;VE7338;19/02/2018 20:20;111.95;3.93;52399;La union;Nariño;Deportes;4;32;16;708;33;35;15;17325
8900PS57A-A;PS57;VE2233;27/11/2017 17:10;109.18;52.68;52323;Gualmatan;Nariño;Carnicería;39;25;29;3455;25;21;9;4725
72152PR46A-A;PR46;VE5389;20/06/2018 3:16;-21.35;76.18;52405;Leiva;Nariño;Frutas y verduras;17;37;1;3332;35;20;36;25200
55766PB41A-A;PB41;VE3743;10/01/2018 2:52;141.37;11.4;52385;La llanada;Nariño;Ropa de adultos;16;17;15;338;40;25;17;17000
104450PS82A-A;PS82;VE8325;17/09/2017 6:45;351.78;40.9;52203;Colon;Nariño;Carnicería;10;7;20;1457;13;16;48;9984
61699PR84A-A;PR84;VE3877;29/03/2018 8:58;110.07;18.7;52427;Magui;Nariño;Frutas y verduras;13;15;32;274;22;13;44;12584
15629PK74A-A;PK74;VE6571;22/03/2018 2:58;122.04;3.49;52381;La florida;Nariño;Deportes;4;31;12;7435;41;8;22;7216
27370PD36A-A;PD36;VE6971;14/07/2017 3:13;78.53;3.77;52480;Nariño;Nariño;Celulares;27;7;7;968;37;26;16;15392
7271PD30A-A;PD30;VE3482;2/08/2017 14:45;231.71;0.33;52473;Mosquera;Nariño;Celulares;17;15;27;24;47;3;31;0
17843PS70A-A;PS70;VE7926;8/02/2018 6:49;45.32;24.31;52210;Contadero;Nariño;Carnicería;28;37;39;5948;19;16;32;0
78067PA94A-A;PA94;VE5109;25/08/2017 18:50;76.8;5.21;52560;Potosi;Nariño;Electrodomésticos;33;30;21;2218;21;19;20;0
110321PA81A-A;PA81;VE4052;31/03/2018 9:26;-125.17;12.32;52565;Providencia;Nariño++;Electrodomésticos;19;4;25;926;54;38;4;8208
53154PB70A-A;PB70;VE2738;30/11/2017 5:31;82.79;41.8;5004;Abriaqui;Antioquia;Ropa de adultos;28;32;17;63;36;41;31;45756
21169PB11A-A;PB11;VE2980;14/06/2018 21:17;43.33;11.31;52385;La llanada;Nariño;Ropa de adultos;27;14;28;841;41;2;21;1722
27159PK25A-A;PK25;VE6108;16/05/2018 2:33;17.94;45.09;52210;Contadero;Nariño;Deportes;23;8;13;1409;1;21;15;315
64020PA40A-A;PA40;VE4365;2/01/2018 8:19;170.11;26.53;52210;Contadero;Nariño;Electrodomésticos;26;37;19;187;1;28;29;812
81430PS30A-A;PS30;VE5149;6/09/2017 0:34;-21.85;1.0;52240;Chachagui;Nariño;Carnicería;38;18;23;2932;25;24;8;4800
92187PD10A-A;PD10;VE3210;3/05/2018 19:06;21.32;24.98;52207;Consaca;Nariño;Celulares;0;2;6;3568;34;10;9;3060
1112PR88A-A;PR88;VE7406;29/11/2017 5:11;58.83;62.52;52411;Linares;Nariño;Frutas y verduras;34;20;32;465;54;37;21;41958
25970PB91A-A;PB91;VE7960;1/05/2018 3:51;32.3;15.82;52207;Consaca;Nariño++;Ropa de adultos;33;17;3;2204;38;20;14;10640
103886PR10A-A;PR10;VE6777;22/04/2018 18:41;229.62;7.07;52323;Gualmatan;Nariño;Frutas y verduras;1;26;25;47;45;10;19;8550
50223PA74A-A;PA74;VE6541;27/02/2257 14:19;224.85;44.04;52427;Magui;Nariño;Electrodomésticos;27;22;23;2855;20;8;34;5440
84577PR89A-A;PR89;VE7016;24/08/2017 21:38;607.14;44.32;52490;Olaya herrera;Nariño;Frutas y verduras;29;22;15;2823;25;25;39;24375
32734PD70A-A;PD70;VE7926;5/12/2017 18:05;210.86;46.33;52560;Potosi;Nariño;Celulares;22;36;30;5093;16;13;43;8944
93503PB26A-A;PB26;VE3877;22/10/1901 20:52;249.74;1.72;52378;La cruz;Nariño;Ropa de adultos;8;33;39;1033;23;4;35;3220
44294PB41A-A;PB41;VE2456;28/08/2017 17:07;9.89;11.69;5002;Abejorral;Antioquia;Ropa de adultos;2;40;18;5044;47;26;33;40326
30652PK34A-A;PK34;VE8699;12/12/2017 18:13;64.44;4.53;5001;Medellin;Antioquia;Deportes;7;2;35;3140;10;13;52;6760
40978PD32A-A;PD32;VE4277;7/11/2017 15:13;40.59;6.84;52381;La florida;Nariño;Celulares;37;24;1;1056;18;26;28;13104
59309PD20A-A;PD20;VE7960;9/02/2018 13:53;417.22;12.24;52411;Linares;Nariño;Celulares;36;32;21;2399;22;22;32;15488
43307PK76A-A;PK76;VE2738;23/02/2018 5:04;81.05;92.41;52565;Providencia;Nariño;Deportes;37;14;40;1986;7;8;15;840
79410PA79A-A;PA79;VE8325;15/03/2018 8:00;-173.61;20.03;52411;Linares;Nariño;Electrodomésticos;14;37;40;139;33;2;30;0
14402PK62A-A;PK62;VE5473;19/07/2017 23:49;148.29;;52001;Pasto;Nariño;;39;37;24;4486;17;9;30;4590
16311PD72A-A;PD72;VE2056;13/05/2018 13:35;50.01;55.84;52473;Mosquera;Nariño;Celulares;5;27;40;396;74;33;14;34188
16757PB14A-A;PB14;VE5068;16/06/2018 15:46;85.43;28.79;52427;Magui;Nariño;Ropa de adultos;33;7;25;1141;40;22;25;22000
15660PR43A-A;PR43;VE3791;24/12/2017 8:34;311.04;32.89;52210;Contadero;Nariño;Frutas y verduras;13;24;0;2299;9;9;26;2106
45936PA74B-B;PA74;VE1830;13/02/2018 9:21;113.04;;52210;Contadero;Nariño;;19;2;16;6280;35;39;42;57330
9152PB32A-A;PB32;VE1637;7/10/2017 4:39;656.72;12.33;52427;Magui;Nariño;Ropa de adultos;28;13;33;273;43;13;37;20683
46284PK79A-A;PK79;VE3292;24/02/2018 14:12;13.16;3.6;52385;La llanada;Nariño;Deportes;5;29;15;1146;44;25;14;15400
18379PD12A-A;PD12;VE9434;18/12/2017 10:52;53.55;8.91;52506;Ospina;Nariño;Celulares;16;11;3;2474;13;19;7;1729
30363PD73A-A;PD73;VE2129;24/05/2018 15:36;78.46;;52323;Gualmatan;Nariño;;31;22;27;1288;17;52;32;28288
87614PD33B-B;PD33;VE3880;26/04/2018 21:55;106.28;3.13;52323;Gualmatan;Nariño;Celulares;30;39;4;1407;21;15;32;10080
22595PD26A-A;PD26;VE4002;10/11/2017 22:00;27.24;8.75;52418;Los andes;Nariño;Celulares;14;3;16;4699;48;12;47;27072
97455PR29A-A;PR29;VE5993;18/02/2018 13:30;52.22;19.12;5001;Medellin;Antioquia;Frutas y verduras;5;22;9;704;46;15;17;11730
91776PK27A-A;PK27;VE3743;7/01/2018 19:17;197.16;17.18;52480;Nariño;Nariño;Deportes;3;6;15;3382;15;39;37;21645
79930PK56A-A;PK56;VE8494;7/03/2018 12:46;12.16;2.28;52427;Magui;Nariño;Deportes;26;36;9;1206;47;11;31;16027
30372PB93A-A;PB93;VE3549;8/02/2257 2:16;33.61;0.27;52001;Pasto;Nariño;Ropa_de_adultos;26;31;11;2379;25;5;16;2000
6039PB59A-A;PB59;VE4580;30/12/2017 23:32;59.07;14.27;52323;Gualmatan;Nariño;Ropa de adultos;11;13;9;321;62;29;31;55738
16641PR44A-A;PR44;VE8692;13/09/2017 17:44;108.1;4.85;52210;Contadero;Nariño;Frutas y verduras;21;23;15;4346;2;44;31;2728
14675PA51A-A;PA51;VE6032;16/09/2017 19:48;10.19;23.83;52051;Arboleda;Nariño;Electrodomésticos;1;19;13;2395;44;33;19;27588
90851PD51A-A;PD51;VE3420;19/08/2017 14:47;102.97;42.56;52001;Pasto;Nariño;Celulares;33;29;36;25;35;8;42;11760
44618PR29A-A;PR29;VE5926;7/01/2018 16:50;348.79;;52356;Ipiales;Nariño;;3;29;24;1040;12;7;19;1596
19709PB48A-A;PB48;VE7885;30/07/2017 4:59;9.74;8.75;52480;Nariño;Nariño;Ropa de adultos;15;32;27;2680;30;35;1;1050
88530PD93A-A;PD93;VE1307;14/08/2017 23:04;125.62;5.18;52435;Mallama;Nariño;Celulares;12;19;27;1152;34;8;33;8976
58368PD59A-A;PD59;VE5993;1/08/2017 15:58;295.3;3.08;52490;Olaya herrera;Nariño;Celulares;9;10;17;976;19;17;18;5814
107950PD91C-C;PD91;VE5445;20/12/2017 23:08;181.7;38.35;52473;Mosquera;Nariño;Celulares;29;17;14;602;30;6;22;3960
45494PK34B-B;PK34;VE5149;9/03/2018 8:03;58.18;8.54;5001;Medellin;Antioquia;Deportes;3;29;16;1285;48;9;17;7344
109506PD42A-A;PD42;VE5229;24/12/2017 10:55;-135.61;43.02;52381;La florida;Nariño;Celulares;2;4;30;170;26;12;21;6552
76384PR75A-A;PR75;VE8575;14/08/2017 12:03;50.37;;52418;Los andes;Nariño;;4;33;13;561;27;3;27;2187
80644PD34A-A;PD34;VE3420;2/12/2017 1:58;2.43;27.1;52405;Leiva;Nariño;Celulares;22;33;35;9963;45;14;11;6930
100392PA45A-A;PA45;VE5445;9/05/2018 0:26;8.61;3.03;52405;Leiva;Nariño;Electrodomésticos;31;24;30;1936;26;19;13;6422
75976PK61A-A;PK61;VE9946;12/10/2017 7:34;237.03;12.41;52110;Buesaco;Nariño;Deportes;37;33;37;3522;56;11;38;23408
6684PK39A-A;PK39;VE1019;30/01/2018 14:37;223.8;83.11;52405;Leiva;Nariño;Deportes;40;23;28;3777;14;2;13;364
36058PB41A-A;PB41;VE3199;6/01/2018 16:42;28.11;18.15;52565;Providencia;Nariño;Ropa de adultos;27;35;28;213;44;12;12;6336
9667PK67D-D;PK67;VE6406;16/09/1901 7:58;228.26;1.31;52560;Potosi;Nariño;Deportes;23;10;0;2764;47;26;13;15886
64396PS77A-A;PS77;VE8695;30/11/2017 12:30;50.19;20.94;52051;Arboleda;Nariño;Carnicería;31;38;14;479;31;17;16;8432
39660PK55A-A;PK55;VE7495;19/10/1901 4:32;-28.23;;52001;Pasto;Nariño;;0;34;21;282;54;16;24;20736
106875PA36A-A;PA36;VE8692;6/10/2017 23:15;43.61;11.59;52411;Linares;Nariño;Electrodomésticos;8;13;6;1066;17;30;29;14790
18503PD69A-A;PD69;VE1019;10/05/2018 16:42;103.17;30.36;52480;Nariño;Nariño;Celulares;12;39;23;716;13;39;28;0
10523PR17A-A;PR17;VE9434;3/01/2018 6:13;-54.14;5.94;5001;Medellin;Antioquia;Frutas y verduras;39;15;5;2497;16;29;14;6496
10798PD89A-A;PD89;VE5109;30/05/2018 17:00;55.48;;52210;Contadero;Nariño;;15;22;2;1435;7;5;7;245
