producto_id;fecha_envio_limite;nombre_categoria_producto;longitud_nombre_producto;longitud_descripcion_producto;cantidad_fotos_producto;peso_g_producto;longitud_cm_producto;altura_cm_producto;ancho_cm_producto
PG39;18/05/2018 2:05;Salud;33;16;39;1328;33;19;25
PM93;8/06/2018 7:51;Ferretería;12;2;14;1392;29;1;15
PG72;13/05/2018 11:58;Salud;13;35;31;1396;18;7;18
PE45;5/06/2018 1:42;Tecnología;17;26;19;1028;52;9;10
PR85;19/09/2017 18:36;Frutas y verduras;16;37;27;772;5;28;23
PB66;20/02/2018 1:05;Ropa de adultos;7;33;33;3966;32;28;16
PJ41;24/02/2018 4:10;Mascotas;33;25;18;736;44;24;18
PJ80;11/06/2018 13:39;Mascotas;22;17;11;2698;40;23;36
PD53;24/11/2017 1:15;Celulares;11;31;25;775;52;37;31
PG10;10/09/2017 1:30;Salud;6;25;25;1756;33;9;26
PH66;7/01/2018 6:51;Bebés ;25;13;17;1484;31;14;22
PI14;16/11/2017 3:38;Juguetes;30;35;36;2444;37;21;12
PT95;24/09/2017 12:42;Tarjetas regalo;1;25;16;4098;35;1;6
PB39;21/07/2017 22:27;Ropa de adultos;32;29;36;4614;55;1;9
PG48;3/04/2018 0:42;Salud;35;15;6;700;26;14;15
PK15;30/09/2017 10:32;Deportes;5;5;22;2571;39;18;36
PO86;28/04/2018 14:24;Productos ecoamigables;8;3;39;680;30;35;24
PI36;10/10/2017 1:05;Juguetes;6;16;10;1584;41;24;31
PI18;23/04/2018 5:39;Juguetes;17;17;7;1218;32;57;15
PD91;20/12/2017 23:08;Celulares;29;17;14;602;30;6;22
PI93;22/12/2017 3:15;Juguetes;34;36;14;1650;64;17;17
PR15;26/12/2017 0:55;Frutas y verduras;11;23;16;388;15;9;15
PR79;23/08/2017 4:28;Frutas y verduras;6;2;15;2300;28;28;19
PB82;8/05/2018 16:15;Ropa de adultos;19;30;26;137;28;37;13
PG44;12/03/2018 9:44;Salud;40;3;14;1600;9;18;12
PQ93;4/11/2017 22:00;Lácteos;14;22;6;1428;26;17;37
PF17;21/02/2018 19:14;Muebles;7;2;13;887;18;24;24
PD25;15/05/2018 14:07;Celulares;6;11;17;204;19;17;28
PJ68;31/07/2017 21:58;Mascotas;13;10;4;875;41;1;38
PH36;14/12/2017 17:47;Bebés ;29;34;9;133;14;6;17
PD78;26/10/2017 17:29;Celulares;32;27;29;4644;50;21;3
PA78;15/07/2017 22:26;Electrodomésticos;18;21;18;206;8;37;40
PN13;30/04/2018 13:58;Dormitorio;21;22;3;1079;17;18;35
PI57;19/04/2018 11:12;Juguetes;37;40;36;9;40;7;17
PA93;21/08/2017 21:33;Electrodomésticos;20;19;20;303;17;29;23
PL28;29/07/2017 12:59;Libros;22;3;37;1253;8;4;22
PQ88;15/07/2017 5:37;Lácteos;38;1;23;226;31;9;12
PT98;11/01/2018 10:47;Tarjetas regalo;16;14;20;16;40;19;14
PI43;11/11/2017 21:00;Juguetes;32;15;2;427;28;3;44
PS32;26/03/2018 17:14;Carnicería;8;6;36;4491;38;32;2
PJ62;2/11/2017 6:53;Mascotas;6;10;32;906;54;20;14
PR58;12/10/2017 1:53;Frutas y verduras;4;32;40;3349;29;22;20
PE89;15/07/2017 20:32;Tecnología;32;18;30;2277;40;33;12
PS87;9/01/2018 2:01;Carnicería;14;33;22;509;24;18;25
PL85;1/03/2018 0:54;Libros;30;40;30;3205;35;3;50
PI33;27/05/2018 14:06;Juguetes;29;38;40;2308;15;14;16
PA35;31/01/2018 9:23;Electrodomésticos;34;24;5;735;14;10;24
PI69;22/07/2017 10:18;Juguetes;38;2;21;1284;43;14;13
PK10;1/02/2018 20:35;Deportes;5;31;10;4223;4;17;28
PQ82;23/11/2017 0:09;Lácteos;36;19;33;1313;52;0;9
PE33;16/12/2017 15:19;Tecnología;6;37;5;1428;37;11;15
PK85;15/03/2018 3:05;Deportes;8;37;7;268;33;19;19
PA15;21/10/2017 5:41;Electrodomésticos;27;37;20;1220;23;24;2
PO43;27/04/2018 23:34;Productos ecoamigables;17;22;33;16;10;5;50
PA13;29/10/2017 14:49;Electrodomésticos;20;12;9;6624;35;25;12
PF92;25/01/2018 2:17;Muebles;4;6;10;4633;32;0;23
PK98;16/04/2018 2:26;Deportes;38;28;22;161;41;42;6
PL35;25/10/2017 6:17;Libros;20;30;15;129;24;28;22
PM95;24/08/2017 19:33;Ferretería;25;1;34;87;38;20;27
PT27;10/06/2018 11:56;Tarjetas regalo;1;31;22;230;43;16;16
PF52;21/08/2017 17:26;Muebles;1;7;7;370;15;15;19
PF74;1/08/2017 13:25;Muebles;8;36;11;4893;10;35;38
PS63;6/06/2018 13:05;Carnicería;39;1;2;3375;40;17;18
PT22;15/10/2017 8:05;Tarjetas regalo;9;27;30;470;32;11;40
PI67;4/03/2018 17:21;Juguetes;33;12;3;241;40;2;16
PT67;10/04/2018 7:57;Tarjetas regalo;5;0;39;5151;12;14;41
PB95;31/12/2017 14:50;Ropa de adultos;29;40;38;3553;29;18;14
PJ98;16/09/2017 14:29;Mascotas;23;16;14;977;44;1;20
PH82;8/12/2017 14:35;Bebés ;6;3;12;3645;20;30;23
PF98;19/08/2017 7:59;Muebles;34;26;25;4732;27;16;23
PN36;25/02/2018 17:23;Dormitorio;38;12;16;2557;35;18;31
PB32;25/09/2017 5:26;Ropa de adultos;31;33;14;3304;33;14;26
PS26;12/12/2017 0:27;Carnicería;4;17;16;4061;47;1;26
PJ75;28/03/2018 16:26;Mascotas;15;6;11;2136;2;18;26
PN65;9/10/2017 12:48;Dormitorio;7;36;0;5213;52;17;32
PM14;13/05/2018 7:12;Ferretería;37;0;22;943;30;19;34
PA21;25/10/2017 15:27;Electrodomésticos;9;17;13;2898;17;21;29
PJ88;7/08/2017 14:00;Mascotas;40;16;15;1638;41;15;29
PP77;22/07/2017 0:30;Licor;15;32;32;2548;41;6;25
PB97;12/09/2017 15:31;Ropa de adultos;18;14;13;412;25;18;47
PQ67;15/03/2018 0:03;Lácteos;22;40;18;3508;27;11;22
PD56;2/08/2017 11:21;Celulares;13;16;28;389;22;10;30
PM64;4/10/2017 3:01;Ferretería;12;33;11;975;48;20;28
PT66;28/05/2018 4:57;Tarjetas regalo;18;10;12;2198;18;1;15
PD20;9/10/2017 16:05;Celulares;15;0;35;821;6;9;11
PH17;30/11/2017 10:11;Bebés ;4;34;2;968;20;27;34
PT84;20/03/2018 5:16;Tarjetas regalo;34;32;28;3948;30;25;27
PT24;11/05/2018 1:11;Tarjetas regalo;28;25;15;7938;14;21;20
PI62;30/12/2017 21:54;Juguetes;32;11;15;1334;44;12;29
PD45;17/08/2017 22:53;Celulares;31;5;38;980;59;22;24
PJ95;2/11/2017 15:04;Mascotas;10;40;7;3630;44;26;30
PO35;12/09/2017 8:35;Productos ecoamigables;38;23;12;272;30;5;43
PR58;24/03/2018 22:25;Frutas y verduras;33;0;28;570;24;9;47
PO44;9/11/2017 17:10;Productos ecoamigables;16;13;17;536;50;16;13
PN22;5/12/2017 17:07;Dormitorio;28;8;15;2181;48;26;20
PR52;18/01/2018 10:12;Frutas y verduras;31;0;2;4031;19;27;16
PN37;9/02/2018 20:40;Dormitorio;39;37;6;514;22;10;1
PI19;8/12/2017 8:55;Juguetes;2;3;0;2686;32;25;31
PI33;14/08/2017 23:23;Juguetes;4;22;24;3081;51;30;32
PD22;20/12/2017 11:16;Celulares;19;9;31;1455;21;10;22
PF39;7/10/2017 0:54;Muebles;39;40;24;472;22;23;8
PQ66;16/11/2017 11:39;Lácteos;6;30;37;916;4;22;2
PL26;29/11/2017 18:45;Libros;31;23;23;132;42;37;27
PD92;26/11/2017 0:40;Celulares;16;17;29;399;26;2;42
PC26;15/03/2018 17:15;Ropa infantil;7;8;14;1680;74;14;0
PL13;2/04/2018 14:30;Libros;4;34;24;829;22;19;40
PD10;28/04/2018 6:23;Celulares;34;30;18;2730;42;11;25
PK84;22/03/2018 16:42;Deportes;36;29;24;2988;42;26;35
PO44;16/06/2018 0:26;Productos ecoamigables;33;23;12;3245;22;18;22
PD22;11/10/2017 16:59;Celulares;37;8;22;1348;14;4;13
PI70;25/12/2017 22:09;Juguetes;40;9;19;12680;0;30;26
PT55;2/01/2018 20:27;Tarjetas regalo;4;2;36;909;3;21;28
PQ62;18/06/2018 16:06;Lácteos;21;9;16;175;20;3;31
PE21;21/09/2017 13:56;Tecnología;7;6;9;7288;55;35;45
PE35;25/12/2017 22:51;Tecnología;29;39;25;85;28;12;19
PT38;17/01/2018 11:50;Tarjetas regalo;8;1;21;1920;59;19;25
PB40;4/02/2018 3:16;Ropa de adultos;19;40;21;549;48;8;22
PF76;12/05/2018 7:33;Muebles;33;2;8;4332;24;38;41
PC46;7/05/2018 17:57;Ropa infantil;2;30;1;2015;20;4;22
PL33;2/09/2017 18:25;Libros;3;40;28;3994;26;9;41
PJ37;21/10/2017 13:34;Mascotas;23;1;10;2187;14;10;37
PM15;3/12/2017 4:58;Ferretería;0;34;32;2009;37;14;31
PG42;14/01/2018 20:44;Salud;12;21;4;3616;28;37;31
PI23;11/08/2017 13:42;Juguetes;34;28;19;2094;19;10;39
PT35;29/08/2017 8:20;Tarjetas regalo;9;22;21;4393;27;13;35
PJ41;15/01/2018 8:57;Mascotas;36;32;11;3901;19;30;22
PO19;13/05/2018 2:41;Productos ecoamigables;37;32;33;5823;38;22;23
PR78;12/08/2017 20:21;Frutas y verduras;1;2;10;231;18;13;23
PN14;9/01/2018 7:10;Dormitorio;27;5;13;3783;3;1;11
PO65;15/03/2018 23:23;Productos ecoamigables;14;36;13;1410;39;21;22
PG16;10/06/2018 3:13;Salud;30;11;13;2599;3;11;18
PB65;25/01/2018 15:42;Ropa de adultos;10;8;25;890;23;16;33
PS37;16/11/2017 21:06;Carnicería;13;13;32;2321;35;16;35
PL35;9/11/2017 0:34;Libros;11;9;25;7146;21;13;24
PR87;19/05/2018 23:21;Frutas y verduras;7;1;17;1779;37;6;29
PM78;23/09/2017 2:23;Ferretería;34;20;23;1740;29;9;28
PI92;6/01/2018 7:04;Juguetes;33;10;27;1378;27;1;33
PM42;2/11/2017 16:37;Ferretería;22;27;36;1609;24;16;31
PF44;4/01/2018 13:09;Muebles;24;27;24;996;20;12;33
PH70;1/02/2018 11:28;Bebés ;9;5;0;2164;13;17;16
PQ64;2/08/2017 7:31;Lácteos;24;30;4;1803;16;16;2
PN28;30/10/2017 3:57;Dormitorio;25;36;28;2240;24;18;12
PB22;11/12/2017 0:40;Ropa de adultos;8;6;26;7483;43;16;21
PL62;12/02/2018 21:02;Libros;18;15;11;1953;38;33;20
PP47;11/11/2017 18:43;Licor;35;35;9;229;47;4;13
PJ16;18/07/2017 15:30;Mascotas;31;13;33;272;25;2;38
PR85;24/10/2017 8:10;Frutas y verduras;24;3;4;861;22;10;9
PJ94;21/01/2018 2:24;Mascotas;35;20;29;142;33;16;24
PF36;29/04/2018 6:46;Muebles;16;8;37;3474;25;31;42
PQ58;19/06/2018 13:50;Lácteos;22;20;36;315;21;17;42
PF64;4/11/2017 7:35;Muebles;4;19;17;6376;45;1;34
PQ61;20/03/2018 14:11;Lácteos;2;33;14;1656;30;19;17
PT68;12/03/2018 14:08;Tarjetas regalo;37;6;39;1644;60;12;10
PJ35;28/02/2018 22:22;Mascotas;34;24;22;4086;38;27;24
PI11;14/09/2017 14:18;Juguetes;30;35;30;184;24;15;15
PC92;4/12/2017 21:27;Ropa infantil;40;5;29;642;4;8;27
PT97;21/02/2018 6:27;Tarjetas regalo;8;4;38;2417;31;23;27
PM66;13/05/2018 18:43;Ferretería;31;29;1;4378;61;21;22
PB73;8/04/2018 6:43;Ropa de adultos;29;39;7;2121;19;11;32
PJ83;10/03/2018 22:25;Mascotas;4;5;10;5215;21;25;26
PE56;23/04/2018 19:11;Tecnología;23;14;22;2424;59;11;26
PL31;1/12/2017 5:23;Libros;4;10;37;1287;39;25;24
PN18;3/08/2017 16:33;Dormitorio;0;29;9;2561;39;27;21
PF90;19/07/2017 11:58;Muebles;6;34;7;482;21;37;29
PB95;24/02/2018 0:48;Ropa de adultos;27;1;36;2814;43;16;16
PC95;31/07/2017 2:35;Ropa infantil;12;20;13;312;55;12;12
PI16;11/03/2018 23:04;Juguetes;14;1;40;476;19;10;32
PK61;28/07/2017 1:43;Deportes;32;17;7;439;27;14;20
PT98;2/03/2018 6:10;Tarjetas regalo;37;33;20;1270;29;3;23
PH72;29/11/2017 14:29;Bebés ;0;25;6;207;37;27;32
PC33;20/06/2018 18:53;Ropa infantil;33;25;23;5592;71;18;30
PN82;30/09/2017 8:47;Dormitorio;33;32;29;1388;17;28;26
PE72;20/06/2018 18:36;Tecnología;28;18;40;843;39;12;8
PE61;5/09/2017 12:07;Tecnología;40;35;15;338;25;2;27
PI29;6/09/2017 13:19;Juguetes;29;29;18;185;52;36;2
PF29;21/03/2018 18:50;Muebles;22;34;22;5470;36;2;3
PH34;31/07/2017 1:31;Bebés ;14;25;30;1402;6;1;22
PJ72;30/09/2017 8:09;Mascotas;34;39;1;3505;33;32;14
PP12;16/06/2018 11:44;Licor;4;19;20;840;28;32;23
PM83;14/04/2018 12:23;Ferretería;38;14;24;2914;19;14;19
PP78;1/09/2017 3:29;Licor;25;7;4;2620;16;5;16
PK90;25/09/2017 11:46;Deportes;39;26;8;1386;33;8;39
PB30;20/12/2017 19:04;Ropa de adultos;11;17;22;59;7;19;29
PK38;4/04/2018 16:56;Deportes;2;1;39;371;42;7;29
PC53;26/12/2017 8:45;Ropa infantil;31;20;36;2915;36;34;25
PA59;31/03/2018 13:07;Electrodomésticos;13;33;11;2896;39;4;43
PH69;12/09/2017 1:33;Bebés ;34;3;34;2411;41;25;5
PO81;24/11/2017 12:37;Productos ecoamigables;7;16;39;1241;36;8;14
PL27;28/03/2018 11:41;Libros;34;35;34;1280;46;22;12
PK59;19/01/2018 15:13;Deportes;39;28;13;2458;27;3;27
PJ92;23/03/2018 14:12;Mascotas;10;36;39;931;37;27;27
PI51;31/10/2017 7:06;Juguetes;14;17;13;1122;21;46;27
PI86;20/06/2018 22:38;Juguetes;2;35;32;376;5;4;32
PJ31;21/12/2017 11:12;Mascotas;33;8;9;1715;39;42;31
PQ84;1/02/2018 15:37;Lácteos;3;13;6;3429;44;27;6
PB88;21/07/2017 17:23;Ropa de adultos;24;25;34;251;14;14;24
PK87;10/09/2017 0:45;Deportes;4;20;20;1788;36;26;32
PR19;7/12/2017 21:15;Frutas y verduras;9;29;10;3107;27;9;39
PG50;14/04/2018 3:52;Salud;25;20;15;3929;32;14;14
PS94;28/03/2018 11:38;Carnicería;17;10;24;3461;9;13;16
PG74;12/10/2017 22:20;Salud;26;1;28;809;44;11;16
PR22;4/11/2017 15:53;Frutas y verduras;40;28;17;105;34;4;21
PE18;23/07/2017 13:52;Tecnología;29;13;1;1204;18;15;13
PF43;22/07/2017 13:34;Muebles;9;13;26;3514;38;9;38
PO78;27/12/2017 22:55;Productos ecoamigables;16;39;8;2096;27;19;16
PN29;5/01/2018 2:36;Dormitorio;15;37;33;61;24;41;15
PR98;28/08/2017 15:59;Frutas y verduras;14;7;19;5470;51;21;20
PG87;29/10/2017 17:20;Salud;29;32;30;1617;41;37;12
PN43;25/10/2017 0:23;Dormitorio;35;19;20;315;8;23;28
PQ38;17/03/2018 19:09;Lácteos;40;10;24;1628;25;9;31
PS69;13/01/2018 10:12;Carnicería;22;8;28;462;15;20;3
PJ80;24/12/2017 10:04;Mascotas;0;34;17;6250;16;3;11
PB75;20/12/2017 23:57;Ropa de adultos;29;20;27;1193;49;16;24
PQ34;12/03/2018 3:06;Lácteos;9;10;10;534;26;27;20
PP12;9/08/2017 0:21;Licor;11;4;40;40;41;15;13
PH95;30/05/2018 15:03;Bebés ;27;19;16;3825;54;10;12
PB63;14/03/2018 1:18;Ropa de adultos;26;34;22;5076;37;17;27
PL75;23/04/2018 8:52;Libros;39;3;40;120;11;1;37
PK44;27/11/2017 20:30;Deportes;30;1;16;2604;23;7;25
PL61;19/11/2017 13:46;Libros;11;3;36;2284;49;1;30
PJ62;7/08/2017 3:21;Mascotas;15;25;26;1036;44;49;29
PN28;18/03/2018 1:01;Dormitorio;34;19;22;54;24;21;17
PT88;19/06/2018 9:30;Tarjetas regalo;29;28;2;830;43;16;23
PE99;17/09/2017 4:22;Tecnología;34;37;21;3008;0;17;50
PK79;24/02/2018 14:12;Deportes;5;29;15;1146;44;25;14
PS34;14/01/2018 19:46;Carnicería;32;27;39;1532;29;13;21
PB60;26/02/2018 19:34;Ropa de adultos;5;3;17;5301;17;25;21
PE15;25/08/2017 7:04;Tecnología;15;1;7;7431;48;7;22
PF75;6/02/2018 21:25;Muebles;5;11;0;52;21;0;20
PR94;17/04/2018 6:48;Frutas y verduras;25;0;36;1441;36;13;32
PP89;7/10/2017 18:20;Licor;29;14;18;7691;31;18;19
PS63;4/05/2018 7:24;Carnicería;36;0;35;2281;49;6;18
PJ65;19/04/2018 20:06;Mascotas;18;40;13;188;16;4;21
PC23;21/02/2018 13:00;Ropa infantil;31;34;26;1285;0;10;25
PE91;25/10/2017 6:48;Tecnología;10;13;10;4533;52;22;39
PK54;17/05/2018 23:05;Deportes;38;33;29;1418;26;21;15
PS51;10/12/2017 12:42;Carnicería;20;0;19;1373;2;32;29
PA33;14/01/2018 1:21;Electrodomésticos;17;26;6;1184;27;17;23
PF54;24/11/2017 21:20;Muebles;23;39;24;4906;1;26;44
PB49;5/05/2018 4:14;Ropa de adultos;14;27;1;596;10;13;19
PT32;25/08/2017 21:42;Tarjetas regalo;25;4;25;429;52;8;29
PD28;17/12/2017 17:18;Celulares;17;25;4;3453;40;31;40
PT27;18/08/2017 20:06;Tarjetas regalo;16;3;34;2225;22;28;37
PC36;12/02/2018 10:21;Ropa infantil;3;27;39;1031;31;23;15
PG52;22/09/2017 15:56;Salud;15;1;11;5871;41;11;12
PT50;26/08/2017 17:17;Tarjetas regalo;6;7;16;1555;13;17;14
PC85;4/12/2017 0:34;Ropa infantil;25;35;27;450;13;9;45
PD31;21/11/2017 17:48;Celulares;37;22;16;144;33;9;41
PJ68;21/09/2017 8:38;Mascotas;28;1;30;1488;55;36;22
PB99;4/05/2018 15:44;Ropa de adultos;23;40;35;1610;33;18;22
PN43;13/06/2018 0:20;Dormitorio;19;33;23;1213;41;22;18
PC43;16/04/2018 21:18;Ropa infantil;16;25;22;6320;39;21;26
PP78;18/11/2017 12:42;Licor;24;18;3;3527;25;11;17
PL44;22/02/2018 9:10;Libros;27;8;1;2047;48;0;7
PO30;4/01/2018 6:55;Productos ecoamigables;4;20;7;1611;25;46;26
PG94;23/03/2018 19:32;Salud;39;11;21;1799;13;28;10
PQ83;13/02/2018 1:34;Lácteos;35;32;40;496;12;15;9
PG60;4/02/2018 19:32;Salud;4;22;9;673;5;10;11
PK82;17/06/2018 17:20;Deportes;5;36;21;1111;52;18;11
PG38;28/08/2017 14:05;Salud;14;30;1;1233;24;28;22
PM49;3/10/2017 3:45;Ferretería;8;31;29;3999;19;15;22
PC53;27/05/2018 19:35;Ropa infantil;33;21;16;4063;24;14;10
PT71;5/05/2018 20:15;Tarjetas regalo;10;2;14;912;38;3;37
PE77;22/11/2017 8:17;Tecnología;39;9;15;359;22;39;21
PM39;26/09/2017 12:38;Ferretería;18;3;15;3657;35;24;13
PI42;11/12/2017 5:43;Juguetes;38;18;19;2148;39;19;38
PC20;9/04/2018 3:45;Ropa infantil;12;11;11;1308;67;39;28
PQ91;22/07/2017 20:03;Lácteos;36;38;35;1461;8;26;33
PC65;16/06/2018 23:06;Ropa infantil;13;8;26;3857;13;38;6
PG32;20/09/2017 2:42;Salud;11;24;36;4076;5;11;3
PI89;21/04/2018 17:04;Juguetes;10;38;6;2964;49;29;44
PT95;28/04/2018 20:42;Tarjetas regalo;3;7;22;663;22;39;12
PO19;25/04/2018 15:48;Productos ecoamigables;24;39;13;1247;53;34;11
PR24;22/07/2017 13:22;Frutas y verduras;10;39;18;1062;9;9;26
PL96;15/06/2018 18:55;Libros;21;39;39;3131;7;20;21
PR76;2/11/2017 13:56;Frutas y verduras;16;19;34;220;14;4;26
PO15;30/04/2018 23:22;Productos ecoamigables;21;10;16;838;12;24;17
PJ86;4/04/2018 3:18;Mascotas;30;19;9;1210;20;27;8
PA22;25/10/2017 20:49;Electrodomésticos;1;39;40;6652;58;21;27
PM39;5/10/2017 2:41;Ferretería;0;4;9;187;41;5;19
PK27;12/08/2017 17:09;Deportes;12;33;5;721;54;17;26
PA15;19/03/2018 3:10;Electrodomésticos;27;8;26;2021;17;4;1
PM23;2/09/2017 2:24;Ferretería;28;35;28;3351;24;12;42
PM61;18/10/2017 3:24;Ferretería;29;20;4;4902;45;13;30
PP37;18/11/2017 4:34;Licor;21;25;33;5365;28;24;19
PP80;16/06/2018 4:11;Licor;33;2;35;1617;55;18;21
PK52;29/04/2018 9:00;Deportes;16;6;3;2967;24;16;18
PG86;24/05/2018 2:38;Salud;1;22;37;9662;12;4;45
PI77;19/01/2018 18:54;Juguetes;0;35;31;681;38;15;21
PA42;16/11/2017 12:12;Electrodomésticos;23;30;10;4290;57;23;4
PS88;25/05/2018 22:10;Carnicería;16;18;40;2034;43;6;35
PD33;26/04/2018 21:55;Celulares;30;39;4;1407;21;15;32
PR72;26/02/2018 12:55;Frutas y verduras;40;0;5;11885;19;4;21
PF79;30/04/2018 13:47;Muebles;11;20;29;1112;18;29;27
PQ46;13/05/2018 6:54;Lácteos;35;14;16;4845;31;43;26
PR14;26/01/2018 8:20;Frutas y verduras;4;34;11;460;12;12;34
PQ85;2/01/2018 21:30;Lácteos;12;8;2;793;29;30;42
PO27;6/02/2018 20:09;Productos ecoamigables;27;11;4;8674;45;22;43
PA20;20/09/2017 19:30;Electrodomésticos;0;36;7;201;43;3;24
PR42;7/03/2018 23:29;Frutas y verduras;39;3;2;551;16;15;37
PR41;17/04/2018 2:57;Frutas y verduras;27;36;14;511;40;10;15
PP36;20/08/2017 15:34;Licor;38;4;27;83;40;46;30
PN54;22/07/2017 18:35;Dormitorio;18;28;33;3289;17;19;43
PL77;20/01/2018 20:34;Libros;16;32;19;833;36;14;34
PI10;13/05/2018 6:24;Juguetes;31;21;20;1855;57;13;21
PD90;24/11/2017 1:14;Celulares;19;27;30;605;27;16;11
PO55;2/02/2018 11:31;Productos ecoamigables;28;7;25;321;45;1;29
PE40;19/12/2017 9:44;Tecnología;15;6;20;5295;34;6;7
PK94;8/02/2018 22:24;Deportes;9;36;36;4600;15;3;32
PD64;8/02/2018 0:16;Celulares;14;9;10;305;20;18;31
PC83;18/01/2018 5:24;Ropa infantil;40;13;28;2356;30;11;28
PP19;16/10/2017 1:56;Licor;25;8;20;3296;44;12;24
PA22;28/01/2018 8:41;Electrodomésticos;15;38;30;2194;22;0;21
PD51;25/04/2018 16:28;Celulares;18;18;20;1693;31;16;40
PB34;16/02/2018 19:45;Ropa de adultos;17;37;28;16;30;14;42
PB58;14/01/2018 6:52;Ropa de adultos;19;0;31;2045;24;14;25
PL60;27/03/2018 8:25;Libros;40;8;19;7435;68;1;33
PF30;7/08/2017 22:34;Muebles;38;30;6;717;38;47;15
PA17;9/08/2017 17:23;Electrodomésticos;36;22;26;4460;42;3;25
PJ73;12/04/2018 15:26;Mascotas;40;0;28;2893;36;36;24
PH77;8/06/2018 3:44;Bebés ;22;22;27;71;68;10;30
PS69;17/09/2017 18:28;Carnicería;30;18;40;1422;22;6;12
PQ49;19/09/2017 18:33;Lácteos;7;40;29;919;72;2;14
PM22;15/03/2018 12:28;Ferretería;21;7;28;1422;1;8;27
PM13;6/09/2017 23:30;Ferretería;11;28;22;2001;36;33;26
PB41;17/11/2017 15:10;Ropa de adultos;7;2;13;1779;40;26;34
PT86;9/05/2018 3:11;Tarjetas regalo;0;16;5;204;32;2;45
PQ46;18/12/2017 14:01;Lácteos;38;22;32;141;1;18;21
PI10;21/03/2018 22:06;Juguetes;35;20;28;5480;57;4;31
PP76;4/08/2017 0:23;Licor;28;18;33;1976;12;18;23
PP46;9/04/2018 5:26;Licor;28;21;24;1791;35;22;39
PK18;30/11/2017 15:59;Deportes;27;1;0;1981;59;7;22
PD22;22/01/2018 9:59;Celulares;9;9;27;682;56;13;18
PB94;6/08/2017 7:57;Ropa de adultos;33;29;33;440;24;8;6
PN18;12/10/2017 4:17;Dormitorio;6;20;30;21;20;22;37
PI94;29/08/2017 11:01;Juguetes;40;38;13;2953;53;2;32
PS68;21/11/2017 11:56;Carnicería;22;35;37;322;30;19;28
PN84;23/07/2017 13:48;Dormitorio;15;36;9;8228;58;30;32
PF87;2/06/2018 17:48;Muebles;15;26;15;142;31;13;13
PK44;13/11/2017 20:52;Deportes;24;32;9;1827;48;11;22
PO15;26/08/2017 20:15;Productos ecoamigables;39;19;15;1475;24;53;8
PN19;10/04/2018 7:30;Dormitorio;22;12;12;3525;39;45;15
PP52;28/07/2017 11:45;Licor;39;40;32;833;59;12;25
PR29;18/11/2017 2:33;Frutas y verduras;11;20;2;3415;37;24;17
PM85;6/05/2018 12:19;Ferretería;1;22;34;2460;10;29;8
PF65;1/02/2018 21:44;Muebles;37;8;5;3996;40;34;14
PF30;9/04/2018 8:38;Muebles;33;21;2;1466;11;21;10
PJ15;21/10/2017 18:04;Mascotas;34;3;25;1199;45;41;13
PK51;7/02/2018 16:49;Deportes;31;0;16;99;25;37;20
PB32;22/03/2018 19:26;Ropa de adultos;31;5;33;484;20;25;25
PP30;17/03/2018 13:01;Licor;7;32;36;2809;27;26;49
PF70;16/11/2017 7:32;Muebles;30;19;3;4195;2;19;11
PH20;1/05/2018 14:17;Bebés ;17;25;31;5471;26;9;32
